Trade Date,Strike,Expiry Date,Call/Put,Last Trade Price,Bid Price,Ask Price,Bid Implied Volatility,Ask Implied Volatility,Open Interest,Volume,Delta,Gamma,Vega,Theta,Rho
2023-07-03,350,2023-07-03,c,92.78,92.71,92.83,0,4.7658,13,15,1,0,0,0,0
2023-07-03,360,2023-07-03,c,83.88,83.81,83.93,0,4.2461,1,1,1,0,0,0,0
2023-07-03,370,2023-07-03,c,73.02,72.95,73.08,0,3.8214,8,3,1,0,0,0,0
2023-07-03,372,2023-07-03,c,71.88,71.77,71.94,0,3.7188,0,0,1,0,0,0,0
2023-07-03,373,2023-07-03,c,70.05,69.94,70.11,0,3.6677,0,0,1,0,0,0,0
2023-07-03,374,2023-07-03,c,69.88,69.77,69.94,0,3.6167,0,0,1,0,0,0,0
2023-07-03,375,2023-07-03,c,69.8,69.69,69.86,0,3.5659,0,0,1,0,0,0,0
2023-07-03,376,2023-07-03,c,67.88,67.77,67.94,0,3.5151,0,0,1,0,0,0,0
2023-07-03,377,2023-07-03,c,67.77,67.66,67.83,0,3.4646,0,0,1,0,0,0,0
2023-07-03,378,2023-07-03,c,65.44,65.33,65.5,0,3.4141,0,0,1,0,0,0,0
2023-07-03,379,2023-07-03,c,65.85,65.74,65.91,0,3.3638,0,0,1,0,0,0,0
2023-07-03,380,2023-07-03,c,63.45,63.34,63.51,0,3.3137,5,4,1,0,0,0,0
2023-07-03,381,2023-07-03,c,63.82,63.71,63.88,0,3.2636,0,0,1,0,0,0,0
2023-07-03,382,2023-07-03,c,61.47,61.36,61.53,0,3.2137,0,0,1,0,0,0,0
2023-07-03,383,2023-07-03,c,60.88,60.77,60.96,0,3.2723,0,0,1,0,0,0,0
2023-07-03,384,2023-07-03,c,59.38,59.27,59.46,0,3.221,0,0,1,0,0,0,0
2023-07-03,385,2023-07-03,c,58.88,58.77,58.96,0,3.1699,0,0,1,0,0,0,0
2023-07-03,386,2023-07-03,c,57.4,57.29,57.48,0,3.1189,0,0,1,0,0,0,0
2023-07-03,387,2023-07-03,c,56.88,56.77,56.96,0,3.0681,0,0,1,0,0,0,0
2023-07-03,388,2023-07-03,c,55.32,55.21,55.4,0,3.0174,0,0,1,0,0,0,0
2023-07-03,389,2023-07-03,c,54.88,54.77,54.96,0,2.9668,0,0,1,0,0,0,0
2023-07-03,390,2023-07-03,c,53.34,53.23,53.42,0,2.9163,60,0,1,0,0,0,0
2023-07-03,391,2023-07-03,c,52.88,52.77,52.96,0,2.866,0,0,1,0,0,0,0
2023-07-03,392,2023-07-03,c,51.27,51.18,51.35,0,2.8158,0,0,1,0,0,0,0
2023-07-03,393,2023-07-03,c,50.88,50.78,50.96,0,2.766,0,0,1,0,0,0,0
2023-07-03,394,2023-07-03,c,49.3,49.2,49.38,0,2.7148,1,0,1,0,0,0,0
2023-07-03,395,2023-07-03,c,48.88,48.78,48.96,0,2.6634,0,0,1,0,0,0,0
2023-07-03,396,2023-07-03,c,48.52,48.42,48.6,0,2.612,0,0,1,0,0,0,0
2023-07-03,397,2023-07-03,c,46.88,46.78,46.96,0,2.5608,0,0,1,0,0,0,0
2023-07-03,398,2023-07-03,c,46.49,46.39,46.56,0,2.4679,0,0,1,0,0,0,0
2023-07-03,399,2023-07-03,c,44.88,44.78,44.95,0,2.4188,0,0,1,0,0,0,0
2023-07-03,400,2023-07-03,c,44.54,44.44,44.61,0,2.3691,13,6,1,0,0,0,0
2023-07-03,401,2023-07-03,c,42.59,42.49,42.66,0,2.3184,0,0,1,0,0,0,0
2023-07-03,402,2023-07-03,c,42.51,42.41,42.58,0,2.2679,3,1,1,0,0,0,0
2023-07-03,403,2023-07-03,c,40.61,40.51,40.68,0,2.2176,0,0,1,0,0,0,0
2023-07-03,404,2023-07-03,c,40.48,40.38,40.55,0,2.1673,0,0,1,0,0,0,0
2023-07-03,405,2023-07-03,c,38.56,38.48,38.63,0,2.1172,0,0,1,0,0,0,0
2023-07-03,406,2023-07-03,c,37.88,37.78,37.95,0,2.0672,0,0,1,0,0,0,0
2023-07-03,407,2023-07-03,c,36.57,36.47,36.64,0,2.0173,1,0,1,0,0,0,0
2023-07-03,408,2023-07-03,c,35.88,35.78,35.95,0,1.9675,2,0,1,0,0,0,0
2023-07-03,409,2023-07-03,c,34.53,34.43,34.6,0,1.9179,2,2,1,0,0,0,0
2023-07-03,410,2023-07-03,c,33.88,33.8,33.95,0,1.8684,241,0,1,0,0,0,0
2023-07-03,411,2023-07-03,c,32.55,32.45,32.62,0,1.8192,0,0,1,0,0,0,0
2023-07-03,412,2023-07-03,c,31.88,31.78,31.95,0,1.7684,2,2,1,0,0,0,0
2023-07-03,413,2023-07-03,c,30.57,30.47,30.64,0,1.7177,1,1,1,0,0,0,0
2023-07-03,414,2023-07-03,c,29.88,29.78,29.95,0,1.667,17,15,1,0,0,0,0
2023-07-03,415,2023-07-03,c,28.54,28.46,28.61,0,1.6165,2,1,1,0,0,0,0
2023-07-03,416,2023-07-03,c,27.88,27.78,27.95,0,1.5661,5,0,1,0,0,0,0
2023-07-03,417,2023-07-03,c,26.57,26.47,26.64,0,1.5158,0,0,1,0,0,0,0
2023-07-03,418,2023-07-03,c,25.88,25.78,25.95,0,1.4656,5,1,1,0,0,0,0
2023-07-03,419,2023-07-03,c,25.21,25.11,25.28,0,1.4156,0,0,1,0,0,0,0
2023-07-03,420,2023-07-03,c,23.88,23.81,23.95,0,1.3657,53,18,1,0,0,0,0
2023-07-03,421,2023-07-03,c,23.19,23.1,23.26,0,1.3159,1,2,1,0,0,0,0
2023-07-03,422,2023-07-03,c,21.88,21.8,21.95,0,1.2648,0,0,1,0,0,0,0
2023-07-03,423,2023-07-03,c,21.19,21.11,21.26,0,1.2135,1,0,1,0,0,0,0
2023-07-03,424,2023-07-03,c,19.75,19.67,19.82,0,1.1622,18,6,1,0,0,0,0
2023-07-03,425,2023-07-03,c,19.16,19.11,19.23,0,1.1111,8,3,1,0,0,0,0
2023-07-03,426,2023-07-03,c,17.76,17.68,17.83,0,1.0601,50,8,1,0,0,0,0
2023-07-03,427,2023-07-03,c,16.88,16.8,16.95,0,1.0091,6,2,1,0,0,0,0
2023-07-03,428,2023-07-03,c,15.75,15.67,15.82,0,0.9565,152,42,1,0,0,0,0
2023-07-03,429,2023-07-03,c,14.88,14.8,14.95,0,0.9041,53,5,1,0,0,0,0
2023-07-03,430,2023-07-03,c,13.76,13.71,13.83,0,0.8517,832,159,1,0,0,0,0
2023-07-03,431,2023-07-03,c,12.88,12.83,12.94,0,0.7796,1744,13,1,0,0,0,0
2023-07-03,432,2023-07-03,c,11.76,11.71,11.82,0,0.7275,1215,119,1,0,0,0,0
2023-07-03,433,2023-07-03,c,10.88,10.83,10.94,0,0.6755,2982,186,1,0,0,0,0
2023-07-03,434,2023-07-03,c,9.78,9.73,9.84,0,0.623,2396,128,1,0,0,0,0
2023-07-03,435,2023-07-03,c,8.88,8.81,8.95,0,0.5854,1742,587,1,0,0,0,0
2023-07-03,436,2023-07-03,c,7.79,7.74,7.86,0,0.5296,3884,304,1,0,0,0,0
2023-07-03,437,2023-07-03,c,6.88,6.83,6.95,0,0.474,4545,494,1,0,0,0,0
2023-07-03,438,2023-07-03,c,5.81,5.76,5.88,0,0.4172,5830,997,1,0,0,0,0
2023-07-03,439,2023-07-03,c,4.88,4.83,4.95,0,0.3595,7059,1913,1,0,0,0,0
2023-07-03,440,2023-07-03,c,3.83,3.79,3.89,0,0.2898,5521,3455,1,0,0,0,0
2023-07-03,441,2023-07-03,c,2.88,2.84,2.95,0,0.2379,3778,7494,0.9994,0.0022,0.0002,-0.0063,0.0006
2023-07-03,442,2023-07-03,c,1.92,1.89,1.93,0,0.13,8532,43400,0.9841,0.0451,0.0034,-0.1297,0.0011
2023-07-03,443,2023-07-03,c,0.93,0.88,0.9,0,0.0714,13523,244323,0.8706,0.2704,0.0176,-0.6133,0.0013
2023-07-03,444,2023-07-03,c,0.11,0.13,0.14,0.054,0.057,14918,359149,0.4006,0.8158,0.033,-0.6847,0.0007
2023-07-03,445,2023-07-03,c,0.01,0.01,0.02,0.0746,0.0858,13807,122923,0.0096,0.0535,0.0022,-0.0458,0
2023-07-03,446,2023-07-03,c,0,0,0.01,0,0.1263,15685,33783,0,0,0,0,0
2023-07-03,447,2023-07-03,c,0,0,0.01,0,0.1752,6849,15059,0,0,0,0,0
2023-07-03,448,2023-07-03,c,0,0,0.01,0,0.2219,7262,5047,0,0,0,0,0
2023-07-03,449,2023-07-03,c,0,0,0.01,0,0.2675,3828,4975,0,0,0,0,0
2023-07-03,450,2023-07-03,c,0,0,0.01,0,0.3122,10030,813,0,0,0,0,0
2023-07-03,451,2023-07-03,c,0,0,0.01,0,0.3555,758,146,0,0,0,0,0
2023-07-03,452,2023-07-03,c,0,0,0.01,0,0.3985,2378,111,0,0,0,0,0
2023-07-03,453,2023-07-03,c,0,0,0.01,0,0.4414,731,301,0,0,0,0,0
2023-07-03,454,2023-07-03,c,0,0,0.01,0,0.4829,541,36,0,0,0,0,0
2023-07-03,455,2023-07-03,c,0,0,0.01,0,0.5243,671,33,0,0,0,0,0
2023-07-03,456,2023-07-03,c,0,0,0.01,0,0.5655,590,6,0,0,0,0,0
2023-07-03,457,2023-07-03,c,0,0,0.01,0,0.6058,14,0,0,0,0,0,0
2023-07-03,458,2023-07-03,c,0,0,0.01,0,0.6455,95,3,0,0,0,0,0
2023-07-03,459,2023-07-03,c,0,0,0.01,0,0.6851,76,0,0,0,0,0,0
2023-07-03,460,2023-07-03,c,0,0,0.01,0,0.7247,629,0,0,0,0,0,0
2023-07-03,461,2023-07-03,c,0,0,0.01,0,0.7641,23,4,0,0,0,0,0
2023-07-03,462,2023-07-03,c,0,0,0.01,0,0.8035,17,0,0,0,0,0,0
2023-07-03,463,2023-07-03,c,0,0,0.01,0,0.8423,0,0,0,0,0,0,0
2023-07-03,464,2023-07-03,c,0,0,0.01,0,0.8803,1228,0,0,0,0,0,0
2023-07-03,465,2023-07-03,c,0,0,0.01,0,0.9182,0,0,0,0,0,0,0
2023-07-03,466,2023-07-03,c,0,0,0.01,0,0.956,2,0,0,0,0,0,0
2023-07-03,467,2023-07-03,c,0,0,0.01,0,0.9938,0,0,0,0,0,0,0
2023-07-03,468,2023-07-03,c,0,0,0.01,0,1.0315,0,0,0,0,0,0,0
2023-07-03,469,2023-07-03,c,0,0,0.01,0,1.069,0,0,0,0,0,0,0
2023-07-03,470,2023-07-03,c,0,0,0.01,0,1.1062,151,0,0,0,0,0,0
2023-07-03,471,2023-07-03,c,0,0,0.01,0,1.1424,0,0,0,0,0,0,0
2023-07-03,472,2023-07-03,c,0,0,0.01,0,1.1785,0,0,0,0,0,0,0
2023-07-03,473,2023-07-03,c,0,0,0.01,0,1.2146,0,0,0,0,0,0,0
2023-07-03,474,2023-07-03,c,0,0,0.01,0,1.2506,0,0,0,0,0,0,0
2023-07-03,475,2023-07-03,c,0,0,0.01,0,1.2865,0,0,0,0,0,0,0
2023-07-03,476,2023-07-03,c,0,0,0.01,0,1.3224,0,0,0,0,0,0,0
2023-07-03,477,2023-07-03,c,0,0,0.01,0,1.3581,0,0,0,0,0,0,0
2023-07-03,478,2023-07-03,c,0,0,0.01,0,1.3938,0,0,0,0,0,0,0
2023-07-03,479,2023-07-03,c,0,0,0.01,0,1.4295,0,0,0,0,0,0,0
2023-07-03,480,2023-07-03,c,0,0,0.01,0,1.465,56,0,0,0,0,0,0
2023-07-03,481,2023-07-03,c,0,0,0.01,0,1.5005,0,0,0,0,0,0,0
2023-07-03,482,2023-07-03,c,0,0,0.01,0,1.5359,0,0,0,0,0,0,0
2023-07-03,483,2023-07-03,c,0,0,0.01,0,1.5712,0,0,0,0,0,0,0
2023-07-03,484,2023-07-03,c,0,0,0.01,0,1.6059,0,0,0,0,0,0,0
2023-07-03,485,2023-07-03,c,0,0,0.01,0,1.6399,0,0,0,0,0,0,0
2023-07-03,486,2023-07-03,c,0,0,0.01,0,1.674,0,0,0,0,0,0,0
2023-07-03,487,2023-07-03,c,0,0,0.01,0,1.708,0,0,0,0,0,0,0
2023-07-03,488,2023-07-03,c,0,0,0.01,0,1.742,0,0,0,0,0,0,0
2023-07-03,489,2023-07-03,c,0,0,0.01,0,1.7758,0,0,0,0,0,0,0
2023-07-03,490,2023-07-03,c,0,0,0.01,0,1.8096,140,0,0,0,0,0,0
2023-07-03,491,2023-07-03,c,0,0,0.01,0,1.8434,0,0,0,0,0,0,0
2023-07-03,492,2023-07-03,c,0,0,0.01,0,1.877,0,0,0,0,0,0,0
2023-07-03,493,2023-07-03,c,0,0,0.01,0,1.9106,0,0,0,0,0,0,0
2023-07-03,494,2023-07-03,c,0,0,0.01,0,1.9442,0,0,0,0,0,0,0
2023-07-03,495,2023-07-03,c,0,0,0.01,0,1.9776,0,0,0,0,0,0,0
2023-07-03,496,2023-07-03,c,0,0,0.01,0,2.011,0,0,0,0,0,0,0
2023-07-03,497,2023-07-03,c,0,0,0.01,0,2.0443,0,0,0,0,0,0,0
2023-07-03,498,2023-07-03,c,0,0,0.01,0,2.0776,0,0,0,0,0,0,0
2023-07-03,499,2023-07-03,c,0,0,0.01,0,2.1108,0,0,0,0,0,0,0
2023-07-03,500,2023-07-03,c,0,0,0.01,0,2.1429,1,0,0,0,0,0,0
2023-07-03,505,2023-07-03,c,0,0,0.01,0,2.3021,0,0,0,0,0,0,0
